model,mpix,sensor,price,launch,overall,portrait,landscrape,sports
Hasselblad X1D-50c,50,Medium Format,$8995,Jun. 2016,102.0,26.2,14.8,4489.0
Pentax 645Z,51.4,Medium Format,$8499,Apr. 2014,101.0,26.0,14.7,4505.0
Panasonic Lumix DC-S1R,47.3,Full Frame,$3700,Feb. 2019,100.0,26.4,14.1,3525.0
Nikon D850,45.7,Full Frame,$3300,Aug. 2017,100.0,26.4,14.8,2660.0
Sony A7R III,42.4,Full Frame,$3200,Oct. 2017,100.0,26.0,14.7,3523.0
Nikon Z7II,45.75,Full Frame,$3399,Oct. 2020,100.0,26.3,14.7,2841.0
Sony A7R IV,61.2,Full Frame,$3500,Jul. 2019,99.0,26.0,14.8,3344.0
Nikon Z7,45.7,Full Frame,$3400,Aug. 2018,99.0,26.3,14.6,2668.0
Sony A1,50.1,Full Frame,$6499,Jan. 2021,98.0,25.9,14.5,3163.0
Sony A7R II,42.4,Full Frame,$3198,Jun. 2015,98.0,26.0,13.9,3434.0
Nikon D810,36.3,Full Frame,$3300,Jun. 2014,97.0,25.7,14.8,2853.0
Sony A7IV,33,Full Frame,$2800,Dec. 2021,97.0,25.4,14.7,3379.0
Sony Cyber-shot DSC-RX1R II,42.4,Full Frame,$3300,Oct. 2015,97.0,25.8,13.9,3204.0
Leica Q2,47.3,Full Frame,$5000,Mar. 2019,96.0,26.4,13.5,2491.0
Pentax K-1,36.4,Full Frame,$1800,Feb. 2016,96.0,25.4,14.6,3280.0
Canon EOS R3,24.1,Full Frame,$5999,Sep. 2021,96.0,25.0,14.7,4086.0
Nikon D800E,36.3,Full Frame,$3300,Feb. 2012,96.0,25.6,14.3,2979.0
Sony A7 III,24.2,Full Frame,$2000,Feb. 2018,96.0,25.1,14.7,3722.0
Panasonic Lumix DC-S1,24.2,Full Frame,$2500,Feb. 2019,95.0,25.2,14.5,3333.0
Canon EOS R5,45,Full Frame,$4499,Jul. 2020,95.0,25.3,14.6,3042.0
Nikon Z6,24.5,Full Frame,$2000,Aug. 2018,95.0,25.3,14.3,3299.0
Sony A7R,36,Full Frame,$2300,Oct. 2013,95.0,25.6,14.1,2746.0
Sony A7C,24.2,Full Frame,$1799,Nov. 2020,95.0,25.0,14.7,3407.0
Leica SL2-S,24.6,Full Frame,$4895,Dec. 2020,95.0,25.2,14.1,3504.0
Nikon D800,36.3,Full Frame,$2999,Feb. 2012,95.0,25.3,14.4,2853.0
Nikon Z6II,24.5,Full Frame,$1995,Oct. 2020,94.0,25.0,14.4,3303.0
Nikon D600,24.3,Full Frame,$2100,Sep. 2012,94.0,25.1,14.2,2980.0
Nikon D610,24,Full Frame,$1999,Oct. 2013,94.0,25.1,14.4,2925.0
Panasonic Lumix DCS5,24.2,Full Frame,$1999,Feb. 2021,94.0,25.1,14.5,2697.0
Sony a9 II,24.2,Full Frame,$4500,Oct. 2019,93.0,25.0,14.0,3434.0
Nikon D750,24.3,Full Frame,$2300,Sep. 2014,93.0,24.8,14.5,2956.0
Sony Cyber-shot DSC-RX1,24.3,Full Frame,$2800,Sep. 2012,93.0,25.1,14.3,2534.0
Sony a9,24.2,Full Frame,$4500,Apr. 2017,92.0,24.9,13.3,3517.0
Sony SLT Alpha 99 II,42.4,Full Frame,$3200,Sep. 2016,92.0,25.4,13.4,2317.0
Phase One IQ180 Digital Back,80,Medium Format,$42490,Jan. 2011,91.0,26.5,13.6,966.0
Sony Cyber-shot DSC-RX1R,24.3,Full Frame,$2800,Jun. 2013,91.0,25.0,13.6,2537.0
Canon  EOS-1D X Mark III,20.1,Full Frame,$6500,Jan. 2020,91.0,24.2,14.5,3248.0
Canon EOS 5D Mark IV,30.4,Full Frame,$3500,Aug. 2016,91.0,24.8,13.6,2995.0
Sony A7,24,Full Frame,$1700,Oct. 2013,90.0,24.8,14.2,2248.0
Canon EOS R6,20.1,Full Frame,$2499,Aug. 2020,90.0,24.2,14.3,3394.0
Sony A7 II,24.3,Full Frame,$1600,Nov. 2014,90.0,24.9,13.6,2449.0
Pixii A1571,26,APS-C,$2999,Sep. 2021,90.0,25.1,13.5,1939.0
Nikon Df,16.2,Full Frame,$2749,Nov. 2013,89.0,24.6,13.1,3279.0
Nikon D4,16.2,Full Frame,$5999,Jan. 2012,89.0,24.7,13.1,2965.0
Phase One P65 Plus,60.5,Medium Format,$39900,Jul. 2008,89.0,26.0,13.0,1158.0
Canon EOS R,30.3,Full Frame,$2300,Sep. 2018,89.0,24.5,13.5,2742.0
Nikon D4s,16.2,Full Frame,$6500,Feb. 2014,89.0,24.4,13.3,3074.0
Sony SLT Alpha 99,24.3,Full Frame,$2800,Sep. 2012,89.0,25.0,14.0,1555.0
Leica SL (Typ 601),24,Full Frame,$7450,Oct. 2015,88.0,25.0,13.4,1821.0
Canon  EOS-1D X Mark II,20.2,Full Frame,$6000,Feb. 2016,88.0,24.1,13.5,3207.0
Nikon D3X,24.5,Full Frame,$9172,Dec. 2008,88.0,24.7,13.7,1992.0
Nikon D5,20.8,Full Frame,$6500,Jan. 2016,88.0,25.1,12.3,2434.0
Sony A7S,12.2,Full Frame,$2499,Apr. 2014,87.0,23.9,13.2,3702.0
Nikon D7200,24.2,APS-C,$1200,Mar. 2015,87.0,24.5,14.6,1333.0
Samsung NX500,28,APS-C,$800,Feb. 2015,87.0,24.8,13.9,1379.0
Canon EOS 5DS,50.6,Full Frame,$3700,Feb. 2015,87.0,24.7,12.4,2381.0
Phase One P40 Plus,40,Medium Format,$19500,Apr. 2009,87.0,25.3,13.0,1307.0
DJI Zenmuse X7,24,APS-C,$2700,Oct. 2017,86.0,24.6,13.9,1482.0
Leica M10,24,Full Frame,$6895,Jan. 2017,86.0,24.4,13.2,2133.0
Canon EOS 5DS R,50.6,Full Frame,$3900,Feb. 2015,86.0,24.6,12.4,2308.0
Sony A7SIII,12.1,Full Frame,$3499,Jul. 2020,86.0,23.7,13.9,2520.0
Nikon D3400,24.2,APS-C,$650,Aug. 2016,86.0,24.8,13.9,1192.0
Nikon D7500,20.9,APS-C,$1250,Apr. 2017,86.0,24.3,14.0,1483.0
Canon EOS 6D Mark II,26.2,Full Frame,$2000,Jun. 2017,85.0,24.4,11.9,2862.0
Sony A7S II,12.2,Full Frame,$3000,Sep. 2015,85.0,23.6,13.3,2993.0
Sony A6300,24.2,APS-C,$1000,Feb. 2016,85.0,24.4,13.7,1437.0
Leica Q Typ 116,24.2,Full Frame,$4250,Jun. 2015,85.0,24.3,12.7,2221.0
Sony A6500,24.2,APS-C,$1400,Oct. 2016,85.0,24.5,13.7,1405.0
Canon EOS RP,26,Full Frame,$1300,Feb. 2019,85.0,24.3,11.9,2978.0
Nikon D5500,24.2,APS-C,$900,Jan. 2015,84.0,24.1,14.0,1438.0
Leica M Typ 240,24,Full Frame,$6950,Sep. 2012,84.0,24.0,13.3,1860.0
Nikon D500,20.9,APS-C,$2000,Jan. 2016,84.0,24.1,14.0,1324.0
Nikon D5200,24.1,APS-C,$897,Nov. 2012,84.0,24.2,13.9,1284.0
Nikon D5600,24.2,APS-C,$700,Nov. 2016,84.0,24.1,14.0,1306.0
Nikon D7100,24.1,APS-C,$1200,Feb. 2013,83.0,24.2,13.7,1256.0
Nikon D5300,24.2,APS-C,$800,Oct. 2013,83.0,24.0,13.9,1338.0
Sony A6400,24.2,APS-C,$900,Jan. 2019,83.0,24.0,13.6,1431.0
Samsung NX1,28.2,APS-C,$1500,Sep. 2014,83.0,24.2,13.2,1363.0
Pentax 645D,40,Medium Format,$9400,Mar. 2010,82.0,24.6,12.6,1262.0
Nikon D3s,12.1,Full Frame,$5510,Oct. 2009,82.0,23.5,12.0,3253.0
Pentax K-5 IIs,16.3,APS-C,$1199,Sep. 2012,82.0,23.9,14.1,1208.0
Sony A6000,24.3,APS-C,$799,Feb. 2014,82.0,24.1,13.1,1347.0
Sony SLT Alpha 77 II,24.3,APS-C,$1200,May. 2014,82.0,24.4,13.4,1013.0
Pentax K-5 II,16.3,APS-C,$999,Sep. 2012,82.0,23.8,14.1,1235.0
Nikon D3300,24.2,APS-C,$650,Jan. 2014,82.0,24.3,12.8,1385.0
Canon EOS 1Dx,18.1,Full Frame,$6800,Oct. 2011,82.0,23.8,11.8,2786.0
Canon EOS 6D,20.2,Full Frame,$2099,Sep. 2012,82.0,23.8,12.1,2340.0
Sony A6600,24.2,APS-C,$1200,Aug. 2019,82.0,23.8,13.4,1497.0
Pentax K5,16.3,APS-C,$1600,Sep. 2010,82.0,23.7,14.1,1162.0
Nikon D3200,24.2,APS-C,$699,Apr. 2012,81.0,24.1,13.2,1131.0
Canon EOS 5D Mark III,22.3,Full Frame,$3499,Mar. 2012,81.0,24.0,11.7,2293.0
Sony NEX-7,24.3,APS-C,$1720,Aug. 2011,81.0,24.1,13.4,1016.0
Nikon D3,12.1,Full Frame,$4300,Aug. 2007,81.0,23.5,12.2,2290.0
Nikon D700,12.1,Full Frame,$2699,Jul. 2008,80.0,23.5,12.2,2303.0
Canon EOS 1Ds Mark III,21.1,Full Frame,$7100,Aug. 2007,80.0,24.0,12.0,1663.0
Pentax K-3,24,APS-C,$1300,Oct. 2013,80.0,23.7,13.4,1216.0
Sony A5100,24.3,APS-C,$550,Aug. 2014,80.0,23.8,12.7,1347.0
Nikon D7000,16.2,APS-C,$1200,Sep. 2010,80.0,23.5,13.9,1167.0
Pentax K-3 II,24.35,APS-C,$1100,Apr. 2015,80.0,23.6,13.6,1106.0
Sony Alpha 580,16.2,APS-C,$800,Aug. 2010,80.0,23.8,13.3,1121.0
Olympus OM-D E-M1 Mark II,20.4,"4/3""",$2000,Sep. 2016,80.0,23.7,12.8,1312.0
Nikon Coolpix A,16.2,APS-C,$1100,Mar. 2013,80.0,23.4,13.8,1164.0
Ricoh GR II,16.2,APS-C,$800,Jun. 2015,80.0,23.6,13.7,1078.0
Nikon D5100,16.2,APS-C,$799,Apr. 2011,80.0,23.5,13.6,1183.0
Sony A5000,20,APS-C,$500,Jan. 2014,79.0,23.8,13.0,1089.0
Panasonic Lumix DC-GH5 II,20.33,"4/3""",$1699,May. 2021,79.0,23.7,13.1,1136.0
Canon EOS 5D Mark II,21,Full Frame,$2199,Sep. 2008,79.0,23.7,11.9,1815.0
Sony Alpha 850,24.6,Full Frame,$2000,Aug. 2009,79.0,23.8,12.2,1415.0
Canon EOS 80D,24.2,APS-C,$1200,Feb. 2016,79.0,23.6,13.2,1135.0
Sony Alpha 900,24.6,Full Frame,$3000,Sep. 2008,79.0,23.7,12.3,1431.0
Pentax K 01,16.28,APS-C,$899,Feb. 2012,79.0,23.7,12.9,1135.0
Pentax K-50,16.28,APS-C,$599,Jun. 2013,79.0,23.7,13.0,1120.0
Pentax K-30,16.3,APS-C,$470,May. 2012,79.0,23.7,13.0,1129.0
Pentax K-500,16.28,APS-C,$600,Jun. 2013,79.0,23.7,13.1,1087.0
Canon EOS 200D,24.2,APS-C,$550,Jun. 2017,79.0,23.6,13.4,1041.0
Sony SLT Alpha 68,24,APS-C,$600,Nov. 2015,79.0,24.1,13.5,701.0
Ricoh GR,16.2,APS-C,$799,Apr. 2013,78.0,23.6,13.5,972.0
Sony NEX-6,16.1,APS-C,$848,Sep. 2012,78.0,23.7,13.1,1018.0
Canon EOS M100,24.2,APS-C,$600,Aug. 2017,78.0,23.5,12.9,1272.0
Sony SLT Alpha 77,24.3,APS-C,$1399,Aug. 2011,78.0,24.0,13.2,801.0
Hasselblad H3DII 50,50,Medium Format,$20000,Nov. 2007,78.0,24.7,12.7,574.0
Leica X Vario,16.2,APS-C,$2850,Jun. 2013,78.0,23.4,12.7,1320.0
Sony A3000,20.1,APS-C,$400,Aug. 2013,78.0,23.7,12.8,1068.0
Canon EOS 77D,24.2,APS-C,$900,Feb. 2017,78.0,23.6,13.3,971.0
Sony NEX-5T,16.1,APS-C,$549,Aug. 2013,78.0,23.6,13.0,1015.0
Canon EOS M6,24.2,APS-C,$780,Feb. 2017,78.0,23.4,12.6,1317.0
Sony NEX-5R,16.1,APS-C,$650,Aug. 2012,78.0,23.7,13.1,910.0
Pentax K-S1,20.12,APS-C,$749,Aug. 2014,78.0,23.5,13.0,1061.0
Panasonic Lumix DC-GH5,20.3,"4/3""",$2000,Jan. 2017,77.0,23.9,13.0,807.0
Sony NEX-5N,16.1,APS-C,$860,Aug. 2011,77.0,23.6,12.7,1079.0
Leaf Aptus75S,33,Medium Format,$32995,Sep. 2006,77.0,24.7,12.5,538.0
Phase One P45 Plus,39,Medium Format,$32990,Jan. 2007,77.0,24.2,12.9,622.0
Canon EOS M5,24.2,APS-C,$980,Sep. 2016,77.0,23.4,12.4,1262.0
Samsung NX 300,20.3,APS-C,$750,Jan. 2013,76.0,23.6,12.7,942.0
Leica S,37.5,Medium Format,$21950,Sep. 2012,76.0,23.9,12.2,824.0
Samsung NX 30,20,APS-C,$1000,Jan. 2014,76.0,23.5,12.4,1014.0
Hasselblad H3DII 39,39,Medium Format,$22000,Nov. 2007,75.0,24.2,12.5,532.0
Sony SLT Alpha 57,16.1,APS-C,$700,Mar. 2012,75.0,23.4,13.0,785.0
Leica T,16,APS-C,$1850,Apr. 2014,75.0,23.0,12.7,1082.0
Samsung NX 20,20.3,APS-C,$719,Apr. 2012,75.0,23.4,12.9,785.0
Panasonic Lumix DMC-GX8,20.3,"4/3""",$1200,Jul. 2015,75.0,23.5,12.6,806.0
Sony SLT Alpha 37,16,APS-C,$500,May. 2012,75.0,23.3,12.9,799.0
Samsung GALAXY NX,20.3,APS-C,$1300,Jun. 2013,75.0,23.4,12.3,910.0
Samsung NX2000,20.3,APS-C,$649,May. 2013,75.0,23.4,12.3,908.0
DJI Zenmuse X5S,20.8,"4/3""",$1400,Nov. 2016,74.0,23.0,12.7,956.0
Sony SLT Alpha 65,24.3,APS-C,$1290,Aug. 2011,74.0,23.4,12.6,717.0
Sony SLT Alpha 35,16,APS-C,$600,Jun. 2011,74.0,23.3,12.7,763.0
Canon EOS 1Ds Mark II,16.6,Full Frame,$6950,Sep. 2004,74.0,23.3,11.3,1480.0
